celebrity_name             , ballroom_partner                        , celebrity_industry      , celebrity_homestate, celebrity_homecountry/region, celebrity_age_during_season, season, results           , placement, week, judge_total       , active, n_active, elim_week_official, elim_after_week
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    4, 24.0              , True  ,       10,                8.0, False
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    4, 26.0              , True  ,       10,                6.0, False
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    4, 29.0              , True  ,       10,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    4,  0.0              , False ,       10,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    4,  0.0              , False ,       10,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    4, 26.0              , True  ,       10,                4.0, True
Alexis Ren                 , Alan Bersten                            , Social Media Personality, California         , United States               ,                          21,     27, 4th Place         ,         4,    5, 29.0              , True  ,        9,                   , False
Bobby Bones                , Sharna Burgess                          , Radio Personality       , Arkansas           , United States               ,                          38,     27, 1st Place         ,         1,    5, 21.0              , True  ,        9,                   , False
Danelle Umstead            , Artem Chigvintsev                       , Athlete                 , New Mexico         , United States               ,                          46,     27, Eliminated Week 2 ,        12,    5,  0.0              , False ,        9,                2.0, False
DeMarcus Ware              , Lindsay Arnold                          , Athlete                 , Alabama            , United States               ,                          36,     27, Eliminated Week 7 ,         7,    5, 26.0              , True  ,        9,                7.0, False
Evanna Lynch               , Keo Motsepe                             , Actor/Actress           ,                    , Ireland                     ,                          27,     27, 3rd Place         ,         3,    5, 24.0              , True  ,        9,                   , False
Joe Amabile                , Jenna Johnson                           , TV Personality          , Illinois           , United States               ,                          32,     27, Eliminated Week 8 ,         6,    5, 17.0              , True  ,        9,                8.0, False
John Schneider             , Emma Slater                             , Actor/Actress           , New York           , United States               ,                          58,     27, Eliminated Week 7 ,         8,    5, 24.0              , True  ,        9,                7.0, False
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    5, 29.0              , True  ,        9,                8.0, False
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    5, 25.0              , True  ,        9,                6.0, False
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    5, 27.0              , True  ,        9,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    5,  0.0              , False ,        9,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    5,  0.0              , False ,        9,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    5,  0.0              , False ,        9,                4.0, False
Alexis Ren                 , Alan Bersten                            , Social Media Personality, California         , United States               ,                          21,     27, 4th Place         ,         4,    6, 27.0              , True  ,        9,                   , False
Bobby Bones                , Sharna Burgess                          , Radio Personality       , Arkansas           , United States               ,                          38,     27, 1st Place         ,         1,    6, 22.0              , True  ,        9,                   , False
Danelle Umstead            , Artem Chigvintsev                       , Athlete                 , New Mexico         , United States               ,                          46,     27, Eliminated Week 2 ,        12,    6,  0.0              , False ,        9,                2.0, False
DeMarcus Ware              , Lindsay Arnold                          , Athlete                 , Alabama            , United States               ,                          36,     27, Eliminated Week 7 ,         7,    6, 26.0              , True  ,        9,                7.0, False
Evanna Lynch               , Keo Motsepe                             , Actor/Actress           ,                    , Ireland                     ,                          27,     27, 3rd Place         ,         3,    6, 29.0              , True  ,        9,                   , False
Joe Amabile                , Jenna Johnson                           , TV Personality          , Illinois           , United States               ,                          32,     27, Eliminated Week 8 ,         6,    6, 22.0              , True  ,        9,                8.0, False
John Schneider             , Emma Slater                             , Actor/Actress           , New York           , United States               ,                          58,     27, Eliminated Week 7 ,         8,    6, 19.0              , True  ,        9,                7.0, False
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    6, 30.0              , True  ,        9,                8.0, False
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    6, 24.0              , True  ,        9,                6.0, True
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    6, 30.0              , True  ,        9,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    6,  0.0              , False ,        9,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    6,  0.0              , False ,        9,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    6,  0.0              , False ,        9,                4.0, False
Alexis Ren                 , Alan Bersten                            , Social Media Personality, California         , United States               ,                          21,     27, 4th Place         ,         4,    7, 27.5              , True  ,        8,                   , False
Bobby Bones                , Sharna Burgess                          , Radio Personality       , Arkansas           , United States               ,                          38,     27, 1st Place         ,         1,    7, 26.5              , True  ,        8,                   , False
Danelle Umstead            , Artem Chigvintsev                       , Athlete                 , New Mexico         , United States               ,                          46,     27, Eliminated Week 2 ,        12,    7,  0.0              , False ,        8,                2.0, False
DeMarcus Ware              , Lindsay Arnold                          , Athlete                 , Alabama            , United States               ,                          36,     27, Eliminated Week 7 ,         7,    7, 26.5              , True  ,        8,                7.0, True
Evanna Lynch               , Keo Motsepe                             , Actor/Actress           ,                    , Ireland                     ,                          27,     27, 3rd Place         ,         3,    7, 29.5              , True  ,        8,                   , False
Joe Amabile                , Jenna Johnson                           , TV Personality          , Illinois           , United States               ,                          32,     27, Eliminated Week 8 ,         6,    7, 23.5              , True  ,        8,                8.0, False
John Schneider             , Emma Slater                             , Actor/Actress           , New York           , United States               ,                          58,     27, Eliminated Week 7 ,         8,    7, 27.0              , True  ,        8,                7.0, True
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    7, 28.0              , True  ,        8,                8.0, False
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    7,  0.0              , False ,        8,                6.0, False
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    7, 29.0              , True  ,        8,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    7,  0.0              , False ,        8,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    7,  0.0              , False ,        8,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    7,  0.0              , False ,        8,                4.0, False
Alexis Ren                 , Alan Bersten                            , Social Media Personality, California         , United States               ,                          21,     27, 4th Place         ,         4,    8, 29.0              , True  ,        6,                   , False
Bobby Bones                , Sharna Burgess                          , Radio Personality       , Arkansas           , United States               ,                          38,     27, 1st Place         ,         1,    8, 22.5              , True  ,        6,                   , False
Danelle Umstead            , Artem Chigvintsev                       , Athlete                 , New Mexico         , United States               ,                          46,     27, Eliminated Week 2 ,        12,    8,  0.0              , False ,        6,                2.0, False
DeMarcus Ware              , Lindsay Arnold                          , Athlete                 , Alabama            , United States               ,                          36,     27, Eliminated Week 7 ,         7,    8,  0.0              , False ,        6,                7.0, False
Evanna Lynch               , Keo Motsepe                             , Actor/Actress           ,                    , Ireland                     ,                          27,     27, 3rd Place         ,         3,    8, 29.0              , True  ,        6,                   , False
Joe Amabile                , Jenna Johnson                           , TV Personality          , Illinois           , United States               ,                          32,     27, Eliminated Week 8 ,         6,    8, 23.0              , True  ,        6,                8.0, True
John Schneider             , Emma Slater                             , Actor/Actress           , New York           , United States               ,                          58,     27, Eliminated Week 7 ,         8,    8,  0.0              , False ,        6,                7.0, False
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    8, 30.0              , True  ,        6,                8.0, True
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    8,  0.0              , False ,        6,                6.0, False
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    8, 27.5              , True  ,        6,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    8,  0.0              , False ,        6,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    8,  0.0              , False ,        6,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    8,  0.0              , False ,        6,                4.0, False
Alexis Ren                 , Alan Bersten                            , Social Media Personality, California         , United States               ,                          21,     27, 4th Place         ,         4,    9, 28.5              , True  ,        4,                   , False
Bobby Bones                , Sharna Burgess                          , Radio Personality       , Arkansas           , United States               ,                          38,     27, 1st Place         ,         1,    9, 27.0              , True  ,        4,                   , False
Danelle Umstead            , Artem Chigvintsev                       , Athlete                 , New Mexico         , United States               ,                          46,     27, Eliminated Week 2 ,        12,    9,  0.0              , False ,        4,                2.0, False
DeMarcus Ware              , Lindsay Arnold                          , Athlete                 , Alabama            , United States               ,                          36,     27, Eliminated Week 7 ,         7,    9,  0.0              , False ,        4,                7.0, False
Evanna Lynch               , Keo Motsepe                             , Actor/Actress           ,                    , Ireland                     ,                          27,     27, 3rd Place         ,         3,    9, 30.0              , True  ,        4,                   , False
Joe Amabile                , Jenna Johnson                           , TV Personality          , Illinois           , United States               ,                          32,     27, Eliminated Week 8 ,         6,    9,  0.0              , False ,        4,                8.0, False
John Schneider             , Emma Slater                             , Actor/Actress           , New York           , United States               ,                          58,     27, Eliminated Week 7 ,         8,    9,  0.0              , False ,        4,                7.0, False
Juan Pablo Di Pace         , Cheryl Burke                            , Actor/Actress           ,                    , Argentina                   ,                          39,     27, Eliminated Week 8 ,         5,    9,  0.0              , False ,        4,                8.0, False
Mary Lou Retton            , Sasha Farber                            , Athlete                 , West Virginia      , United States               ,                          50,     27, Eliminated Week 6 ,         9,    9,  0.0              , False ,        4,                6.0, False
Milo Manheim               , Witney Carson                           , Actor/Actress           , California         , United States               ,                          17,     27, 2nd Place         ,         2,    9, 30.0              , True  ,        4,                   , False
Nancy McKeon               , Valentin Chmerkovskiy                   , Actor/Actress           , New York           , United States               ,                          52,     27, Eliminated Week 3 ,        11,    9,  0.0              , False ,        4,                3.0, False
Nikki Glaser               , Gleb Savchenko                          , Comedian                , Ohio               , United States               ,                          34,     27, Eliminated Week 1 ,        13,    9,  0.0              , False ,        4,                1.0, False
Tinashe                    , Brandon Armstrong                       , Singer/Rapper           , Kentucky           , United States               ,                          25,     27, Eliminated Week 4 ,        10,    9,  0.0              , False ,        4,                4.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    1, 16.0              , True  ,       12,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    1, 20.0              , True  ,       12,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    1, 21.0              , True  ,       12,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    1, 17.0              , True  ,       12,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    1, 15.0              , True  ,       12,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    1, 16.0              , True  ,       12,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    1, 11.0              , True  ,       12,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    1, 19.0              , True  ,       12,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    1, 17.0              , True  ,       12,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    1, 15.0              , True  ,       12,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    1, 18.0              , True  ,       12,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    1, 12.0              , True  ,       12,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    2, 20.0              , True  ,       12,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    2, 24.0              , True  ,       12,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    2, 20.0              , True  ,       12,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    2, 19.0              , True  ,       12,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    2, 21.0              , True  ,       12,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    2, 20.0              , True  ,       12,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    2, 12.0              , True  ,       12,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    2, 19.0              , True  ,       12,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    2, 15.0              , True  ,       12,                2.0, True
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    2, 15.0              , True  ,       12,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    2, 18.0              , True  ,       12,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    2, 16.0              , True  ,       12,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    3, 24.0              , True  ,       10,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    3, 21.0              , True  ,       10,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    3, 23.0              , True  ,       10,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    3, 16.0              , True  ,       10,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    3, 24.0              , True  ,       10,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    3, 20.0              , True  ,       10,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    3, 12.0              , True  ,       10,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    3, 20.0              , True  ,       10,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    3,  0.0              , False ,       10,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    3,  0.0              , False ,       10,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    3, 23.0              , True  ,       10,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    3, 15.0              , True  ,       10,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    4, 32.0              , True  ,       10,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    4, 32.0              , True  ,       10,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    4, 28.0              , True  ,       10,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    4, 28.0              , True  ,       10,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    4, 26.0              , True  ,       10,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    4, 32.0              , True  ,       10,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    4, 20.0              , True  ,       10,                4.0, True
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    4, 32.0              , True  ,       10,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    4,  0.0              , False ,       10,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    4,  0.0              , False ,       10,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    4, 31.0              , True  ,       10,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    4, 21.0              , True  ,       10,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    5, 27.0              , True  ,        9,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    5, 25.0              , True  ,        9,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    5, 26.0              , True  ,        9,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    5, 21.0              , True  ,        9,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    5, 24.0              , True  ,        9,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    5, 26.0              , True  ,        9,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    5,  0.0              , False ,        9,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    5, 23.0              , True  ,        9,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    5,  0.0              , False ,        9,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    5,  0.0              , False ,        9,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    5, 24.0              , True  ,        9,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    5, 19.0              , True  ,        9,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    6, 25.0              , True  ,        9,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    6, 24.0              , True  ,        9,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    6, 27.0              , True  ,        9,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    6, 25.0              , True  ,        9,                7.0, False
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    6, 27.0              , True  ,        9,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    6, 26.0              , True  ,        9,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    6,  0.0              , False ,        9,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    6, 26.0              , True  ,        9,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    6,  0.0              , False ,        9,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    6,  0.0              , False ,        9,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    6, 27.0              , True  ,        9,                6.0, True
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    6, 21.0              , True  ,        9,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    7, 27.0              , True  ,        8,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    7, 26.0              , True  ,        8,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    7, 27.0              , True  ,        8,               10.0, False
Karamo Brown               , Jenna Johnson                           , TV Personality          , Texas              , United States               ,                          38,     28, Eliminated Week 7 ,         8,    7, 24.5              , True  ,        8,                7.0, True
Kate Flannery              , Pasha Pashkov                           , Actor/Actress           , Pennsylvania       , United States               ,                          55,     28, Eliminated Week 8 ,         7,    7, 24.0              , True  ,        8,                8.0, False
Kel Mitchell               , Witney Carson                           , Actor/Actress           , Illinois           , United States               ,                          41,     28, 2nd Place         ,         2,    7, 25.5              , True  ,        8,                   , False
Lamar Odom                 , Peta Murgatroyd                         , Athlete                 , New York           , United States               ,                          39,     28, Eliminated Week 4 ,        10,    7,  0.0              , False ,        8,                4.0, False
Lauren Alaina              , Gleb Savchenko                          , Singer/Rapper           , Georgia            , United States               ,                          24,     28, 4th Place         ,         4,    7, 27.0              , True  ,        8,                   , False
Mary Wilson                , Brandon Armstrong                       , Singer/Rapper           , Nevada             , United States               ,                          75,     28, Eliminated Week 2 ,        12,    7,  0.0              , False ,        8,                2.0, False
Ray Lewis                  , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          44,     28, Withdrew          ,        11,    7,  0.0              , False ,        8,                   , False
Sailor Brinkley-Cook       , Valentin Chmerkovskiy                   , Model                   , New York           , United States               ,                          21,     28, Eliminated Week 6 ,         9,    7,  0.0              , False ,        8,                6.0, False
Sean Spicer                , Lindsay Arnold                          , Politician              , New York           , United States               ,                          48,     28, Eliminated Week 9 ,         6,    7, 21.0              , True  ,        8,                9.0, False
Ally Brooke                , Sasha Farber                            , Singer/Rapper           , Texas              , United States               ,                          26,     28, 3rd Place         ,         3,    8, 30.0              , True  ,        7,                   , False
Hannah Brown               , Alan Bersten                            , TV Personality          , Alabama            , United States               ,                          24,     28, 1st Place         ,         1,    8, 30.9998           , True  ,        7,                   , False
James Van Der Beek         , Emma Slater                             , Actor/Actress           , Connecticut        , United States               ,                          42,     28, Eliminated Week 10,         5,    8, 31.9998           , True  ,        7,               10.0, False
